year,usd_current,usd_constant,cad_current,cad_constant,eur_current,eur_constant,gbp_current,gbp_constant
2002,1,1.288698,1.570342,2.053296,1.058307,1.261744,0.666148,0.875895
2003,1,1.263746,1.401014,1.774252,0.884269,1.035857,0.611943,0.785866
2004,1,1.230649,1.301282,1.5959,0.804287,0.923875,0.545953,0.683423
2005,1,1.193241,1.211405,1.44077,0.803356,0.905931,0.549383,0.66807
2006,1,1.157532,1.134344,1.315294,0.79639,0.882343,0.542735,0.642055
2007,1,1.127008,1.074045,1.205604,0.729586,0.789154,0.499608,0.578041
2008,1,1.1057,1.067087,1.151769,0.679997,0.718134,0.538308,0.602178
2009,1,1.09892,1.141536,1.261454,0.717737,0.757913,0.639611,0.702182
2010,1,1.085728,1.030113,1.106801,0.753694,0.786086,0.646544,0.69869
2011,1,1.063784,0.989258,1.029503,0.71854,0.743436,0.623927,0.659761
2012,1,1.044342,0.999365,1.027505,0.777846,0.796485,0.632934,0.65912
2013,1,1.026865,1.030138,1.041022,0.752934,0.766275,0.639245,0.651938
2014,1,1.009282,1.104747,1.095153,0.752534,0.761686,0.607413,0.61141
2015,1,1.0,1.278786,1.278786,0.901205,0.901205,0.654401,0.654401
2016,1,0.990584,1.325615,1.316165,0.903671,0.897794,0.737896,0.723676
2017,1,0.97316,1.297936,1.256389,0.885518,0.876435,0.776355,0.747525
2018,1,0.951364,1.295818,1.233966,0.846389,0.827975,0.748621,0.707244
2019,1,0.93592,1.326794,1.244222,0.893178,0.863702,0.782987,0.724259
2020,1,0.923643,1.341153,1.244367,0.876208,0.821429,0.779443,0.686846
2021,1,0.88331,1.253877,1.080561,0.844932,0.782164,0.72689,0.640111
2022,1,0.82453,1.301555,1.041905,0.948877,0.851381,0.808352,0.675095
2023,1,0.795885,1.349909,1.064277,0.924573,0.78922,0.804239,0.625976
